真壁 瑞希,阿部 里果,99b7dc,1/27,まかべ みずき,あべ りか,Mizuki Makabe,Fairy,17,160,43,B,右,73,54,77,水瓶座,神奈川県,手品,バトントワリング,クロスワードパズル
篠宮 可憐,近藤 唯,b63b40,8/27,しのみや かれん,こんどう ゆい,Karen Shinomiya,Angel,16,159,48,AB,右,90,59,90,乙女座,東京都,アロマテラピー,ポーカーフェイス,お風呂
百瀬 莉緒,山口 立花子,f19591,11/21,ももせ りお,やまぐち りかこ,Rio Momose,Fairy,23,168,46,A,右,84,57,84,蠍座,広島県,ヨガエクササイズ,メイク,可愛くてセクシーな服
永吉 昴,斉藤 佑圭,aeb49c,9/20,ながよし すばる,さいとう ゆか,Subaru Nagayoshi,Fairy,15,154,41,B,左,79,59,78,乙女座,東京都,野球,変化球、家事全般,アイドル
北上 麗花,平山 笑美,6bb6b0,5/17,きたかみ れいか,ひらやま えみ,Reika Kitakami,Angel,20,164,47,A,右,84,58,84,牡牛座,長野県,登山,肺活量が大きい,ドライブ
周防 桃子,渡部 恵子,efb864,11/6,すおう ももこ,わたなべ けいこ,Momoko Suou,Fairy,11,140,35,B,右,73,53,74,蠍座,東京都,かわいいシール集め,演技や台詞の暗記,ホットケーキ
ジュリア,寺川 愛美,d7385f,9/26,じゅりあ,てらかわ あいみ,Julia,Fairy,16,157,43,O,左,79,54,80,天秤座,福岡県,なし,ギター,パンクロック
白石 紬,南 早紀,ebe1ff,5/29,しらいし つむぎ,みなみ さき,Tsumugi Shiraishi,Fairy,17,160,45,AB,右,82,56,83,双子座,石川県,庭園、甘味処巡り,着物の着付け、三味線,和スイーツ
桜守 歌織,香里 有佐,274079,3/27,さくらもり かおり,こうり ゆさ,Kaori Sakuramori,Angel,23,165,47,O,右,88,58,85,牡羊座,東京都,乗馬,合唱、ゴルフ,子ども、洋菓子
音無 小鳥,滝田 樹里,ffffdd,9/9,おとなし ことり,たきた じゅり,Kotori Otonashi,Ex,2?,159,49,AB,右,?,?,?,乙女座,?,妄想、TVを見る事,料理,アイドルの皆さん
青葉 美咲,安済 知佳,74d3c5 ,6/29,あおば みさき,あんざい ちか,Misaki Aoba,Ex,20,?,?,?,?,?,?,?,蟹座 ,鹿児島県(種子島),?,?,?
詩花,高橋 季依,85aa85 ,9/16, しいか,たかはし りえ,Shika,Ex,17,158,43,A,右,82,53,80,乙女座,オーストリア,オルゴール集め、ロボのおもちゃ,クロール,アイドル活動
